,Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean,Change,Change_Pct
0,Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.3333332604832093,0.0,0.0
1,Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.0678246484698097,0.0,0.0
2,Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,48.909922194593705,48.809817292652596,48.709712390711495,48.609610622042204,48.509505720101096,48.409400818159895,48.309295916218794,48.20919101427771,48.109089245608395,48.0089843436673,47.90887944172621,47.808774539785006,47.7086696378439,47.60856786917461,47.5084629672335,47.4083580652924,47.3082531633512,47.2081482614101,47.10804649274079,47.0079415907997,46.9078366888586,46.80773178691749,46.7076268849763,46.60752511630711,46.5074202143659,46.40731531242479,46.307210410483705,47.608566592656466,2.6027117841099994,0.054668980193817954
3,Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.7883207223711,28.7171523936474,28.645986292484103,28.5748179637603,28.503649635036503,28.4324813063127,28.361312977589,28.290146876425702,28.218978547701898,28.1478102189781,28.0766418902543,28.172262150005697,28.267882409757103,28.3635026695084,28.459125156820303,28.554745416571603,28.5102187107949,28.4656942325787,28.421167526802,28.3766430485858,28.3321163428091,28.297081272097397,28.262043973825303,28.227006675553103,28.1919716048415,28.1569343065693,28.1218970082972,28.368058938147346,0.6664237140739004,0.02349204489200145
4,Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.04255319148942,0.0,0.0
5,Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,1.7326335458283701,1.7275736256869998,1.7225115704725,1.71745170279595,1.71239272282848,1.70733281169286,1.70227379060056,1.6972139205473402,1.69215494295654,1.6870959629466298,1.68203605181101,1.6830756474866,1.6841143109807601,1.68517996282904,1.6862201437511701,1.68725825529459,1.6935766543865,1.6999018407442001,1.7062277102354602,1.7129385799999899,1.7192694998923501,1.71311268730216,1.70695703393974,1.70083006507352,1.6946746158859,1.6885174078571101,1.6823612559231398,1.7009217155462768,0.05027228990523036,0.029555910448873686
6,United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,3.4497324697268397,3.54125598422979,3.63277949873275,3.72430301323571,3.81582652773867,3.9073500422416196,3.9988735567445803,4.09039707124754,4.181920585750491,4.2734441002534505,4.36496761475641,4.3705997450927105,4.37623187542902,4.3818644354693195,4.38749656580563,4.39312869614193,4.408054034899941,4.4229793736579595,4.43790471241595,4.45283005117397,4.46775538993198,4.48268072868999,4.49760649715198,4.51253183591,4.52745717466801,4.54238251342602,4.55730785218402,4.229617109137271,-1.1075753824571803,-0.26186185507536314
7,Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,12.7135335021504,12.6063599526253,12.499186403100099,12.3920142809379,12.284840731412801,12.1776671818876,12.0704936323625,11.9633207965188,11.856147246993599,11.74897441115,11.641800861624802,11.5194630077758,11.397125867608302,11.2747880137593,11.1524508735918,11.030113019742801,10.913914254080698,10.7977154884185,10.681516722756301,10.5653179570942,10.449119191432,10.3406667246747,10.2322149715989,10.123762504841599,10.015310751765801,9.90685828500853,9.79840581825125,11.264928979746825,2.915127683899149,0.25877905569935206
8,Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.7667720407446,11.7527221636811,11.752722378065199,11.7456970107652,11.738672715385698,11.7316473480857,11.724621980785699,11.7175976854063,11.710572318106198,11.7035480227268,11.6965226554268,11.6894972881268,11.6824729927473,11.675447625447301,11.668423330067801,11.6613979627678,11.654372595467802,11.647348300088401,11.640322932788301,11.6332986374089,11.6262732701089,11.6332986374089,11.640322932788301,11.647348300088401,11.654372595467802,11.6613979627678,11.668423330067801,11.68611537084399,0.09834871067679885,0.008415859980483484
9,American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,91.949996948242,91.7500019073485,91.599998474121,91.4500045776365,91.25,91.0999965667725,90.95000267028799,90.7499980926515,90.60000419616699,90.3999996185305,90.2499961853025,90.10000228881849,89.89999771118151,89.7500038146975,89.5499992370605,89.39999580383301,89.2500019073485,89.04999732971201,88.9000034332275,88.75,88.5499954223635,88.400001525879,88.199996948242,88.050003051758,87.8999996185305,87.7000045776365,87.5,89.74074081138328,4.449996948242003,0.04958725443993145
